FEATURE,CÔNG THỨC,DIỄN GIẢI (Ngắn gọn),NGUỒN THAM KHẢO ,DATASET TO VALIDATE,PHÂN LOẠI TẤN CÔNG,NGƯỠNG DETECT (Threshold T),CƠ SỞ TRÍCH DẪN / GIẢI THÍCH SỐ LIỆU
Feature 1 - Packet Rate ,"v = min(count / 1s / 1000, 1.0)",Tốc độ gói tin (pps) trung bình/1s.,NIST SP 800-189; Mahajan et al. (IMAP Framework),CIC-IDS2017,DoS/DDoS Volumetric,> 1200 pps (packets/second),"Theo phân tích dataset CIC-IDS2017 của Sharafaldin: Các luồng tấn công DoS (Hulk, Slowloris) có tốc độ trung bình vượt mốc 1200pps, trong khi traffic người dùng (benign) thường dao động < 100-500pps."
Feature 2 - SYN Ratio,"v = min((SYN / max(ACK, 1)) / 2.0, 1.0)",Tỷ lệ SYN/(ACK+FIN).,RFC 4987 (TCP SYN Flooding); Wang et al. (2002),UNSW-NB15 / CAIDA,SYN Flood,Ratio > 2.0,Wang chứng minh trong trạng thái bình thường tỷ lệ SYN:FIN/ACK là ~1:1. Tỷ lệ > 2.0 cho thấy có ít nhất 50% kết nối không trọn vẹn (SYN Spoofing).
Feature 3 - Distinct Port,"v = min(unique_dst_ports / 50, 1.0)",Số cổng đích duy nhất/1s.,"Jung et al. (2004) ""Fast Portscan Detection""; Snort (sfPortscan)",CIC-IDS2017,Port Scanning,> 20 ports / 60s,Cấu hình mặc định của Snort (sense_level medium) kích hoạt cảnh báo quét cổng khi một IP kết nối tới hơn 20 cổng khác nhau trong cửa sổ thời gian 60 giây.
Feature 4 - Fail Ratio - RST Ratio,"v = RST_count / max(Total_pkts, 1)",Tỷ lệ gói RST trả về/Tổng gói.,Paxson (1999) - Bro IDS (nay là Zeek),UNSW-NB15,Backscatter / Stealth Scan,Ratio > 0.20 (20%),"Paxson (tác giả Bro IDS) chỉ ra rằng một thiết bị mạng ổn định có tỷ lệ gói RST (reset connection) dưới 5%. Tỷ lệ lỗi > 20% là dấu hiệu ""Backscatter"" của hoạt động dò quét."
Feature 5 - Payload Length,"v = min(len(payload) / 1500, 1.0)",Kích thước Payload (Byte).,"RFC 894 (Ethernet Frames); RFC 791 (IPv4), WAMM",CSIC 2010,"Buffer Overflow, bổ trợ",> 1500 Bytes,"Theo chuẩn IEEE 802.3 (Ethernet), MTU (Maximum Transmission Unit) là 1500 bytes. Gói tin vượt quá con số này thường bị phân mảnh (fragmentation attack) hoặc là bất thường trong môi trường LAN chuẩn."
Feature 6 - Error Ratio,"v = count(4xx, 5xx) / total_responses","Tỷ lệ HTTP 4xx, 5xx.",OWASP AppSensor; Microsoft SDL,HTTP Logs,Fuzzing / Direct Object Ref,Ratio > 0.25 (25%),OWASP AppSensor khuyến nghị cảnh báo khi tỷ lệ mã lỗi hệ thống (500) hoặc người dùng (404/403) vượt quá ngưỡng trung bình (baseline) đột biến. Thực tế triển khai Web Security thường đặt ngưỡng chặn cứng ở mức 25% tổng request trong 1 phút.
Feature 7 - SQLi Signature,"v = min(count(Regex_SQL) / 3, 1.0)",Tần suất từ khóa SQL (Regex match).,OWASP ModSecurity Core Rule Set (CRS) v3.x,SQLi-Labs,SQL Injection,Anomaly Score ≥ 5,"Trong chuẩn OWASP CRS, các rule phát hiện từ khóa nguy hiểm (như UNION SELECT, OR 1=1) được gán mức độ Critical (Severity: 5). Chỉ cần 1 lần xuất hiện (Count=1) là đạt ngưỡng chặn ngay lập tức."
Feature 8 - XSS Signature,"v = min(count(Regex_XSS) / 3, 1.0)",Tần suất từ khóa XSS.,OWASP ModSecurity CRS v3.x,XSS Payloads,Cross-Site Scripting,Anomaly Score ≥ 5,"Tương tự SQLi, các thẻ như <script>, javascript:, onload= được định nghĩa là Critical. Ngưỡng detect chuẩn là tổng điểm phạt (score) ≥ 5 (tức 1 dấu hiệu rõ ràng)."
Feature 9 - SQLi Special Character Ratio,v = count([' - ; #]) / len(payload),Mật độ ký tự cú pháp SQL (' ; - #).,"Kruegel & Vigna (2003) - ""Anomaly Detection of Web-based Attacks""",DVWA + Burp Suite,SQLi (Obfuscation),Ratio > 0.08 (8%),"Dựa trên mô hình thống kê phân phối ký tự (Character Distribution). Trong văn bản tiếng Anh/Input chuẩn, các ký tự lạ (' # ; -) chiếm tỷ lệ rất thấp (<4%). Ngưỡng khuyên dùng là gấp đôi mức cơ sở (~8-10%)."
Feature 10 - XSS Special Character Ratio,v = count([< > / ( ) =]) / len(payload),Mật độ ký tự HTML/JS (< > / ( ) =).,Kruegel & Vigna (2003),DVWA + Burp Suite,XSS (Obfuscation),Ratio > 0.15 (15%),"Input HTML hợp lệ có thể chứa một số thẻ, nhưng payload XSS thường chèn rất nhiều ký tự ngữ nghĩa (< > / ( ) =). Ngưỡng 15% được dùng để phân biệt giữa comment bình thường và code tiêm vào."
